fire_hydrants,種別,管轄署所,住所,緯度,経度,口径,備考
143,公設消火栓,北分署,福井市定正町１０１１番,36.11999598333334,136.22096086944447,150,
144,公設消火栓,北分署,福井市定正町１０１４番,36.12070188055556,136.22029091666667,100,
145,公設消火栓,北分署,福井市定正町４０１番,36.11944619444445,136.22598838055558,100,
146,公設消火栓,北分署,福井市定正町２０１番,36.11836330277777,136.22518546944445,100,
147,公設消火栓,北分署,福井市定正町１１０９番,36.120724852777784,136.2193760138889,100,
148,公設消火栓,北分署,福井市定正町１２２１番,36.119798966666664,136.21943304166663,100,
149,公設消火栓,北分署,福井市定正町１２１５番,36.11872109722221,136.21947505833336,100,
150,公設防火水槽,北分署,福井市定正１丁目７０１番,36.119670230555556,136.22804617777777,,
151,受水槽,北分署,福井市定正町４０１番,36.12061607777778,136.22676026944447,,
152,公設消火栓,中消防署,福井市里別所新町４０２番,36.08775971944444,136.19731752222222,400,
153,公設消火栓,中消防署,福井市里別所新町４０４番,36.08824368333334,136.19726750555557,400,
154,公設消火栓,西分署,福井市里別所町９番１９号,36.08840776666668,136.19424760277778,200,
155,公設消火栓,中消防署,福井市里別所新町６１５,36.08900764444445,136.1978313638889,100,
156,公設消火栓,中消防署,福井市里別所新町８０１,36.08899068055555,136.1989031722222,100,
157,公設消火栓,社分署,福井市南江守町１０番３２号,36.03038308055556,136.19536531944442,100,
158,公設消火栓,社分署,福井市南江守町２７番３５号,36.029855991666665,136.1907667472222,200,
159,公設消火栓,社分署,福井市南江守町５１番２５号,36.02912288333333,136.184997275,200,
160,公設消火栓,社分署,福井市南江守町３０番１０号,36.030536966666666,136.1925135638889,75,
161,公設消火栓,清水分署,福井市三留町５８番７号,36.03995713333334,136.14784319444442,75,
162,公設消火栓,清水分署,福井市三留町５８番１６号,36.03948519166667,136.1479151916667,75,
163,公設消火栓,清水分署,福井市三留町５７番５号,36.03829033888889,136.14826215833335,100,
164,公設消火栓,清水分署,福井市三留町５７番１号,36.03887426666667,136.14869010555557,100,
165,公設消火栓,清水分署,福井市三留町４２番５号,36.03916023055555,136.1491820472222,100,
166,公設消火栓,清水分署,福井市三留町４２番３号,36.0394961888889,136.14935702499997,200,
167,公設消火栓,清水分署,福井市三留町３８番２号,36.03946319166666,136.1498929611111,150,
168,公設消火栓,清水分署,福井市三留町４０番７号,36.039940136111106,136.14985996388887,75,
169,公設消火栓,清水分署,福井市三留町３９番１０号,36.03927421666667,136.1503039166667,150,
170,公設消火栓,清水分署,福井市三留町３９番７号,36.03905724166666,136.15077286388888,150,
171,公設消火栓,清水分署,福井市三留町３９番２号,36.039163227777784,136.15132579722223,150,
172,公設消火栓,清水分署,福井市三留町１３番４６号,36.03901524722222,136.1523706777778,150,
173,公設消火栓,東分署,福井市西開発２丁目４０８番,36.07857835555556,136.2357440944444,250,
174,公設消火栓,東分署,福井市西開発２丁目３０４番,36.08002916666666,136.23538109722224,250,
175,公設消火栓,東分署,福井市西開発３丁目１０５番,36.0809821611111,136.23718400277778,100,
176,公設消火栓,中消防署,福井市松本３丁目１６番６５号,36.07271257499999,136.2256318888889,300,
177,公設消火栓,中消防署,福井市松本１丁目１１番１７号,36.07303075277778,136.23042652222225,250,
178,公設消火栓,中消防署,福井市松本１丁目３８番１号,36.07479753055555,136.23023951111108,100,
179,公設消火栓,中消防署,福井市松本３丁目６番１号,36.07156855555555,136.22192420277776,100,
180,公設消火栓,中消防署,福井市松本４丁目３番１８号,36.071515447222225,136.21847262222224,100,
181,公設消火栓,中消防署,福井市松本４丁目７番３号,36.07202339722222,136.21887456944444,100,
182,公設消火栓,中消防署,福井市松本３丁目１７番１６号,36.07362929722221,136.22206314444446,100,
183,公設消火栓,中消防署,福井市松本４丁目８番４号,36.07206743611112,136.22021740277776,100,
184,公設消火栓,中消防署,福井市松本３丁目２４番,36.074815144444436,136.22202412500002,250,
185,公設消火栓,中消防署,福井市松本４丁目１７番１３号,36.07443514166667,136.22053233333332,250,
186,公設消火栓,中消防署,福井市松本３丁目１８番２５号,36.074260269444444,136.22320404444446,100,
187,公設消火栓,中消防署,福井市松本３丁目２１番６号,36.074232349999996,136.22488791944446,100,
188,公設消火栓,西分署,福井市三ツ屋２丁目５０１番,36.08421323055555,136.19403351111112,100,
189,公設消火栓,西分署,福井市三ツ屋２丁目１０４番,36.084298275,136.192330575,100,
190,公設消火栓,西分署,福井市三ツ屋２丁目１０番８号,36.085358191666664,136.19094768611112,100,
191,公設消火栓,西分署,福井市三ツ屋２丁目１０番１０号,36.085160216666665,136.190939675,200,
192,公設消火栓,西分署,福井市三ツ屋１丁目５１５番,36.083855324999995,136.1926145333333,200,
193,公設消火栓,西分署,福井市三ツ屋町１３番１０号,36.08418833888889,136.19082561944444,150,
194,公設消火栓,西分署,福井市三ツ屋町１４番２７号,36.08566618333333,136.190133725,100,
195,公設消火栓,中消防署,福井市里別所新町２１８,36.08858471111112,136.19882220555556,100,
196,公設消火栓,中消防署,福井市里別所新町２１０,36.088062722222226,136.19801137777776,100,
197,公設消火栓,北分署,福井市定正１丁目１１０２番,36.118616352777785,136.22781720555557,100,
198,公設消火栓,北分署,福井市定正町３１１番,36.11918919166666,136.22485049444444,150,
199,公設消火栓,北分署,福井市定正町６０１番２号,36.119532147222216,136.22475450000002,100,
200,公設消火栓,北分署,福井市定正町１２１０番地,36.11816617777778,136.2199800111111,100,
201,公設消火栓,北分署,福井市定正町８０８番,36.118246208333325,136.22161083055556,100,
202,公設消火栓,北分署,福井市定正町４０１番,36.11986012222223,136.2252294472222,100,
203,公設消火栓,北分署,福井市定正町１３１４番,36.11862710555556,136.21932807500002,100,
204,公設消火栓,北分署,福井市定正町１３０４番,36.11982395833334,136.21926605833332,100,
205,公設消火栓,北分署,福井市定正町１１０９番,36.12074284722222,136.2192390277778,100,
206,公設消火栓,北分署,福井市定正町５０３番,36.120130075000006,136.22475748333335,100,
207,公設消火栓,北分署,福井市定正町５２３番２号,36.12080498611112,136.2244634861111,100,
208,公設消火栓,北分署,福井市定正町５１５番,36.12079093333334,136.22270265833333,100,
209,公設消火栓,北分署,福井市定正町１０１８番,36.12082088888889,136.2212188111111,100,
210,公設消火栓,北分署,福井市定正町７０８番,36.118380280555556,136.2245185333333,100,
211,公設消火栓,北分署,福井市定正町７１２番２号,36.118302238888894,136.2228906972222,100,
212,公設消火栓,北分署,福井市定正町１２０７番,36.119068077777776,136.22029096111112,100,
213,公設消火栓,北分署,福井市定正町９１０番,36.119420036111116,136.22034094999998,150,
214,公設消火栓,東分署,福井市西開発３丁目８０１番,36.081375994444436,136.23512509722224,250,
215,公設消火栓,東分署,福井市西開発３丁目２０４番３号,36.082072966666665,136.23603704722223,100,
216,公設消火栓,東分署,福井市西開発３丁目２０１番,36.083253875000004,136.23679299444444,100,
217,公設消火栓,東分署,福井市西開発４丁目２０２番１号,36.08606752222223,136.2363419888889,100,
218,公設消火栓,東分署,福井市西開発１丁目２８０７番,36.07582959444445,136.23425319999998,100,
219,公設消火栓,東分署,福井市西開発１丁目７番１２号,36.074940716666674,136.23462218333333,100,
220,公設消火栓,東分署,福井市西開発１丁目２６０１番,36.07797938055556,136.23498713333333,100,
221,公設消火栓,東分署,福井市西開発１丁目２７０８番,36.07638952777778,136.23419819722224,100,
222,公設消火栓,東分署,福井市西開発１丁目２４１０番,36.07636264444444,136.23632609166665,100,
223,公設消火栓,東分署,福井市西開発１丁目２５０３番２号,36.077060597222214,136.2368950611111,100,
224,公設消火栓,麻生津分遣所,福井市西大味町２７番４号２,35.98623463888889,136.2562299388889,100,
225,公設消火栓,麻生津分遣所,福井市西大味町３１番２号,35.984587858333335,136.2560189388889,100,
226,公設消火栓,麻生津分遣所,福井市西大味町１５番１８号２,35.98647361388889,136.25710186388886,75,
227,公設消火栓,麻生津分遣所,福井市西大味町３１番１１号,35.985221780555555,136.25700885555557,75,
228,公設消火栓,麻生津分遣所,福井市西大味町２８番５号,35.985809702777786,136.25736083333337,100,
229,公設消火栓,麻生津分遣所,福井市西大味町３０番２号,35.98457487499999,136.25841071944444,75,
230,公設消火栓,麻生津分遣所,福井市西大味町１３番４１号１,35.989368238888886,136.25718892222224,100,
231,公設消火栓,臨海消防署,福井市西二ツ屋町６番３２号,36.13639478888888,136.08361506111112,100,
232,公設消火栓,西分署,福井市三ツ屋町,36.086145863888895,136.1974565361111,400,
233,公設消火栓,川西分署,福井市水切町,36.143346811111115,136.13991024722222,100,
234,公設消火栓,川西分署,福井市水切町３４番３号,36.14560762777777,136.14175069722225,100,
235,公設防火水槽,川西分署,福井市水切町３４番５号,36.145043675000004,136.14143681666664,,
236,公設防火水槽,川西分署,福井市水切町４３番１号,36.143718863888886,136.14316175,,
237,公設防火水槽,川西分署,福井市水切町５１番６７号,36.143793780555555,136.1404601111111,,
238,私設防火水槽,川西分署,福井市水切町３４番５号,36.14503767777778,136.14151480555554,,
239,私設防火水槽,川西分署,福井市砂子坂町５番５８号,36.143361036111116,136.14774518055557,,
240,公設消火栓,西安居分遣所,福井市水越１丁目５１０番５号,36.06611657222222,136.18908274166668,100,
241,公設消火栓,西安居分遣所,福井市水越１丁目４１０番,36.06659650833333,136.18854382222221,150,
242,公設消火栓,西安居分遣所,福井市水越２丁目３０６番,36.067104441666665,136.18756895277778,100,
243,公設消火栓,西安居分遣所,福井市水越１丁目１１５番,36.06734341944445,136.18882483055557,100,
244,公設消火栓,南消防署,福井市西木田４丁目５番１５号,36.05234269999999,136.20927844722226,200,
245,公設消火栓,南消防署,福井市西木田４丁目６番２５号,36.05295358888889,136.20802250277774,100,
246,公設消火栓,南消防署,福井市西木田５丁目２番１９号,36.05254261666666,136.20693957777777,100,
247,公設消火栓,社分署,福井市南江守町６番１４号,36.03082608055556,136.19698815555557,200,
248,公設消火栓,南消防署,福井市西木田２丁目５番２５号,36.05301773888888,136.21415511111107,100,
249,公設消火栓,南消防署,福井市西木田４丁目４番３０号,36.05423744722223,136.20917543888888,100,
250,公設消火栓,北分署,福井市定正町９０７番,36.11890210833332,136.22072191944443,100,
251,公設消火栓,北分署,福井市定正町９０２番,36.118963138888894,136.22222175555555,100,
252,公設消火栓,北分署,福井市定正町９０２番,36.119274108333336,136.22239973333333,100,
253,公設消火栓,北分署,福井市定正町７１５番,36.11898817499999,136.22352262500002,100,
254,公設消火栓,清水分署,福井市笹谷町４９番２３号,36.01189123888888,136.1071595472222,150,
255,公設消火栓,清水分署,福井市笹谷町４８番８号,36.01275212777779,136.1068705472222,150,
256,公設消火栓,清水分署,福井市笹谷町４８番,36.01331603333333,136.10576863888892,150,
257,公設消火栓,清水分署,福井市笹谷町４７番１４号,36.0120102,136.10604865833335,75,
258,公設消火栓,清水分署,福井市笹谷町４７番２号,36.01129330833333,136.10694159166667,150,
259,公設消火栓,清水分署,福井市笹谷町４４番２０号,36.010285430555555,136.1069206388889,150,
260,公設消火栓,清水分署,福井市笹谷町４４番２３号,36.009760505555555,136.10735661666666,150,
261,公設消火栓,清水分署,福井市笹谷町１８番３５号,36.00890563055556,136.1082665611111,150,
262,公設消火栓,清水分署,福井市笹谷町１２番７号,36.01135239444445,136.1119200722222,75,
263,公設消火栓,清水分署,福井市笹谷町１３番９号,36.01087846111112,136.1126500194445,100,
264,公設消火栓,清水分署,福井市笹谷町４１番３号,36.005975938888895,136.1053709916667,150,
265,公設消火栓,清水分署,福井市笹谷町３３番６号,36.00511403333333,136.104443125,100,
266,公設消火栓,清水分署,福井市笹谷町３２番３号,36.00436113055556,136.10448215555556,150,
267,公設消火栓,清水分署,福井市笹谷町３３番１０号,36.004608088888894,136.10383221111113,150,
268,公設消火栓,清水分署,福井市笹谷町３４番１号,36.00487804166667,136.10303228333333,75,
269,公設消火栓,臨海消防署,福井市西二ツ屋町２番１号,36.139120472222224,136.08236501666664,100,
270,公設消火栓,臨海消防署,福井市西二ツ屋町２番２６号,36.13879749444445,136.08300498888886,100,
271,公設消火栓,臨海消防署,福井市大窪町地係,36.136004963888894,136.07997131666667,100,
272,公設防火水槽,臨海消防署,福井市西二ツ屋町１番５号,36.13901650277778,136.08179206111112,,
273,公設防火水槽,臨海消防署,福井市西二ツ屋町３番２号,36.13752765555556,136.08317303611108,,
274,私設防火水槽,臨海消防署,福井市西二ツ屋町２番１号,36.13858847777778,136.08440590555554,,
275,公設消火栓,麻生津分遣所,福井市西袋町１０番１８号,35.993128608333336,136.24349905555556,150,
276,公設消火栓,麻生津分遣所,福井市西袋町１５番２６号,35.99246869166666,136.24285909444444,100,
277,公設消火栓,麻生津分遣所,福井市西袋町１７番９号,35.99266865555556,136.24221014166665,100,
278,公設消火栓,麻生津分遣所,福井市西袋町１８番１号,35.99183075277778,136.24094521944443,100,
279,公設消火栓,社分署,福井市西谷町２００８番,36.042051694444446,136.19697062777774,100,
280,公設消火栓,社分署,福井市西谷町１番１７号,36.042796630555564,136.1979765166667,100,
281,公設消火栓,社分署,福井市西谷町２番１号,36.04212172777778,136.19847651666663,100,
282,公設消火栓,南消防署,福井市西谷町１３番２９号,36.04026616666666,136.20542013055555,100,
283,公設消火栓,南消防署,福井市西谷町２１番６６号,36.04010225277777,136.20759798888886,100,
284,公設消火栓,社分署,福井市西谷町１３番２７号,36.04059709722222,136.20448117777775,100,
285,公設消火栓,南消防署,福井市西木田２丁目２番１１号,36.054662525000005,136.21430308611113,100,
286,公設消火栓,南消防署,福井市西木田２丁目７番１９号,36.05435954444445,136.2135111416667,100,
287,公設消火栓,南消防署,福井市西木田１丁目１１番,36.05307578888888,136.21641596111112,100,
288,公設消火栓,南消防署,福井市西木田１丁目４番３号,36.054050697222216,136.2176908611111,100,
289,公設防火水槽,南消防署,福井市西木田１丁目地係,36.05284681944445,136.21645096666666,,
290,公設防火水槽,南消防署,福井市西木田１丁目１６番２２号,36.05514551388889,136.21626394166668,,
291,公設防火水槽,南消防署,福井市西木田１丁目２番１５号,36.05496755833333,136.21697189444444,,
292,公設防火水槽,南消防署,福井市西木田３丁目１５番１号,36.05422048055556,136.21034736111113,,
293,公設消火栓,南消防署,福井市西木田１丁目２０番１８号,36.05347970277778,136.2151330388889,200,
294,公設消火栓,南消防署,福井市西木田１丁目８番４号,36.05303182222222,136.21741089722218,150,
