fire_hydrants,種別,管轄署所,住所,緯度,経度,口径,備考
1,公設消火栓,南消防署,福井市西木田１丁目１０番５号,36.05261486111112,136.21684994999998,100,
2,公設消火栓,南消防署,福井市西木田３丁目１２番７号,36.05250070555556,136.21027238055552,200,
3,公設消火栓,南消防署,福井市西木田５丁目７番１２号,36.051237775,136.20641965,200,
4,公設消火栓,南消防署,福井市西木田５丁目８番１３号,36.05066482777779,136.2056557138889,200,
5,公設消火栓,南消防署,福井市西木田５丁目９番８号,36.04959593055555,136.20419483888887,200,
6,公設消火栓,南消防署,福井市西木田４丁目６番１８号,36.05213469166666,136.2078475388889,200,
7,公設防火水槽,殿下分遣所,福井市畠中町２７番４号,36.04136305000001,136.04512718888887,,
8,公設防火水槽,殿下分遣所,福井市畠中町,36.043007683333336,136.03982462500002,,
9,河川,殿下分遣所,福井市畠中町２５－２０　,36.04286280833333,136.04293532222223,,
10,河川,殿下分遣所,福井市畠中町２７－３０　殿下郵便局付近,36.04076317222223,136.04658907499999,,
11,公設消火栓,西安居分遣所,福井市羽坂町９番９号１３,36.06246234722222,136.14350695555558,100,
12,公設消火栓,西安居分遣所,福井市羽坂町９番９号１７,36.062049397222225,136.14329795833333,100,
13,公設消火栓,中消防署,福井市松本１丁目２２番６号,36.07360369166666,136.23064849722226,100,
14,公設消火栓,中消防署,福井市松本１丁目１５番１号,36.071840994444436,136.23270136666665,100,
15,公設消火栓,中消防署,福井市松本１丁目７番１号,36.07111295833333,136.2298815916667,150,
16,公設消火栓,中消防署,福井市松本１丁目５番２号,36.07105800833333,136.2308205222222,150,
17,公設消火栓,中消防署,福井市松本１丁目４番１号,36.07108303055555,136.231431475,150,
18,公設消火栓,中消防署,福井市松本１丁目２番１号　ＪＲ北陸線高架下,36.071084097222226,136.23294135833333,150,
19,公設消火栓,中消防署,福井市松本１丁目３番１７号,36.07198294722223,136.2319764194444,100,
20,公設消火栓,中消防署,福井市松本１丁目６番１３号,36.07202985833333,136.2301095611111,100,
21,公設消火栓,中消防署,福井市松本１丁目８番１３号,36.071968825,136.22915963611112,100,
22,公設消火栓,中消防署,福井市松本２丁目２９番９号,36.07499039444445,136.22783968611108,100,
23,公設消火栓,中消防署,福井市松本２丁目１４番９号,36.07355448055555,136.22588785555556,100,
24,公設防火水槽,清水分署,福井市三留町１番７号,36.03922921944445,136.15300360555554,,
25,公設消火栓,東消防署,福井市西方１丁目４番５号,36.05171844722223,136.23467880555557,100,
26,公設消火栓,東消防署,福井市西方１丁目１３番１号,36.05337128055555,136.2359286472222,100,
27,公設消火栓,東消防署,福井市西方２丁目１４番８号,36.05285435555556,136.2365066388889,150,
28,公設消火栓,東消防署,福井市西方２丁目７番１０号,36.052671402777776,136.2374455944444,100,
29,公設消火栓,東消防署,福井市西方２丁目５番５号,36.05318535,136.2377175527778,100,
30,公設消火栓,東消防署,福井市西方２丁目１０番３０号,36.051815508333334,136.237645625,100,
31,公設消火栓,東消防署,福井市西方２丁目１０番１０号,36.052207477777785,136.23824556944444,100,
32,公設防火水槽,南消防署,福井市花堂北２丁目５番８号,36.04245211111112,136.21370951666665,,
33,公設防火水槽,南消防署,福井市花堂北１丁目１１番２８号,36.04156426111112,136.2149304916667,,
34,公設防火水槽,南消防署,福井市花堂北２丁目３１番２０号,36.04119408611111,136.20672299722222,,
35,公設消火栓,中消防署,福井市松本１丁目３５番１号,36.07504660555556,136.2325143388889,100,
36,公設消火栓,中消防署,福井市松本１丁目３２番２８号,36.07417970833333,136.23249835,100,
37,公設消火栓,中消防署,福井市松本２丁目３８番２７号,36.07669615555556,136.22722870277778,100,
38,公設消火栓,中消防署,福井市松本４丁目１８番２４号,36.074801094444446,136.22046533611112,100,
39,公設消火栓,中消防署,福井市松本１丁目１５番３０号,36.072796883333325,136.23270535277777,100,
40,公設消火栓,中消防署,福井市松本１丁目３５番３号,36.07488361111111,136.2321973638889,100,
41,公設消火栓,中消防署,福井市松本１丁目５３番１号,36.076223375000005,136.23062046111107,150,
42,公設消火栓,中消防署,福井市松本１丁目５２番９号,36.07659327222222,136.22942354444447,150,
43,公設消火栓,中消防署,福井市松本１丁目５４番１４号,36.07687331388889,136.23097342777777,100,
44,公設消火栓,中消防署,福井市松本１丁目３４番２６号,36.07575156111112,136.2333592666667,100,
45,公設消火栓,中消防署,福井市松本３丁目１７番２号,36.07333739166667,136.22331805277778,100,
46,公設消火栓,中消防署,福井市松本４丁目１２番１０号,36.074235099999996,136.2185386,250,
47,公設消火栓,中消防署,福井市松本４丁目１３番１１号,36.07447309444445,136.2193074972222,250,
48,公設消火栓,中消防署,福井市松本２丁目３８番６号,36.07641822777777,136.22801264999998,100,
49,公設消火栓,中消防署,福井市松本３丁目１１番２７号,36.0722376,136.22486495833334,100,
50,公設消火栓,中消防署,福井市松本１丁目４１番３０号,36.07533240555556,136.2289565972222,100,
51,公設防火水槽,西分署,福井市西堀町１２番６号,36.081733661111116,136.1901335083333,,
52,公設消火栓,中消防署,福井市二の宮５丁目１番１０号,36.082788702777776,136.20893718888885,100,
53,公設消火栓,中消防署,福井市二の宮２丁目３番２号,36.08362808333333,136.22312875833336,150,
54,公設消火栓,中消防署,福井市二の宮２丁目７番,36.08486699722222,136.2243846416667,150,
55,公設消火栓,中消防署,福井市二の宮２丁目１６番２８号,36.08624682777778,136.2244485888889,150,
56,公設消火栓,中消防署,福井市二の宮２丁目１９番２号,36.08625289722223,136.22570152499998,100,
57,公設消火栓,中消防署,福井市二の宮２丁目３１番３号,36.08610597777777,136.22682047499998,100,
58,公設消火栓,臨海消防署,福井市西畑町地係,36.138587388888894,136.08783770833332,150,
59,公設防火水槽,臨海消防署,福井市西畑町２番３２号,36.13369198611111,136.08961984722222,,
60,公設防火水槽,臨海消防署,福井市西畑町１５番１号,36.14155807777779,136.08499473055554,,
61,公設消火栓,臨海消防署,福井市西二ツ屋町２番２４号,36.13988835833333,136.08276495555558,250,
62,公設消火栓,臨海消防署,福井市西二ツ屋町３番１号,36.13809759166667,136.08280103611114,100,
63,公設消火栓,北分署,福井市河合寄安町１００５番,36.12097798888888,136.24971762222225,100,
64,公設消火栓,南消防署,福井市花堂北１丁目１６番,36.04046148055555,136.21775838611111,100,
65,公設消火栓,南消防署,福井市花堂北１丁目５番１号,36.04259419166667,136.21751429999998,100,
66,公設消火栓,南消防署,福井市花堂北２丁目３１番２０号,36.04108309722223,136.2066090111111,100,
67,公設消火栓,南消防署,福井市花堂北２丁目２８番１７号,36.04170201666666,136.20658998333332,100,
68,公設消火栓,南消防署,福井市花堂北２丁目２８番１号,36.04177504722223,136.20801988333335,100,
69,公設消火栓,東消防署,福井市西方２丁目１４番１１号,36.05018271388889,136.23815967777776,100,
70,公設消火栓,東消防署,福井市西方２丁目３番７号,36.052629447222216,136.2390035055556,100,
71,公設消火栓,東消防署,福井市西方２丁目２０番２２号,36.05155756944445,136.23882356944443,100,
72,公設消火栓,東消防署,福井市西方２丁目２２番２７号,36.05074366666666,136.23898460000004,100,
73,公設消火栓,東消防署,福井市西方１丁目１９番１６号,36.05119951944444,136.23507680833333,100,
74,公設消火栓,東消防署,福井市西方１丁目１５番,36.052060419444445,136.23527075277778,100,
75,公設消火栓,東分署,福井市西開発３丁目３１３番,36.08387867777778,136.23467810000002,250,
76,公設消火栓,東分署,福井市西開発３丁目５０４番,36.08363465000001,136.23363715833332,100,
77,公設消火栓,東分署,福井市西開発３丁目５１２番,36.08241472777778,136.23242824444443,100,
78,公設消火栓,東分署,福井市西開発３丁目３１９番,36.08458965277778,136.23567803888886,100,
79,公設消火栓,東分署,福井市西開発４丁目１１１番,36.08563646111112,136.23448909444443,300,
80,公設消火栓,東分署,福井市西開発２丁目５１３番３号,36.07933717777778,136.23412016944442,100,
81,公設消火栓,東分署,福井市西開発４丁目６０８番,36.084570522222215,136.23329516944443,250,
82,公設防火水槽,殿下分遣所,福井市西別所町２５番６号,36.02888506944445,136.06436135277778,,
83,公設消火栓,中消防署,福井市松本１丁目４８番１２号,36.07595739999999,136.23049547500003,100,
84,公設消火栓,中消防署,福井市松本２丁目７番１７号,36.072123758333326,136.22809571388888,100,
85,公設消火栓,中消防署,福井市松本２丁目１１番１号,36.07274061111111,136.2265148222222,100,
86,公設消火栓,中消防署,福井市松本２丁目２３番１号,36.0736265,136.22648980833333,100,
87,公設消火栓,南消防署,福井市左内町６番６号,36.060128758333335,136.21264017777776,100,
88,公設消火栓,南消防署,福井市左内町２番３８号,36.05932789166666,136.21353110833334,100,
89,公設消火栓,南消防署,福井市左内町９番１７号,36.05787505555555,136.21254919444445,100,
90,公設消火栓,南消防署,福井市左内町９番２２号,36.05826199444444,136.21225121666663,100,
91,公設消火栓,南消防署,福井市左内町１０番１１号,36.05904088333333,136.21196323611113,300,
92,公設消火栓,南消防署,福井市左内町１１番１２号,36.06029470833334,136.2116502611111,100,
93,公設消火栓,南消防署,福井市左内町５番１１号,36.06034173611112,136.21283616111108,250,
94,公設防火水槽,南消防署,福井市左内町９番１７号,36.05789505,136.2125141972222,,
95,公設防火水槽,南消防署,福井市左内町３－１４　,36.059680836111106,136.21326912777778,,
96,公設消火栓,川西分署,福井市佐野町２１番１１号,36.13965030833334,136.14358519722222,350,
97,公設消火栓,川西分署,福井市佐野町１１番１０６号,36.139019336111105,136.14229346388888,350,
98,公設消火栓,川西分署,福井市佐野町２０番１号,36.13887539722223,136.14374026944446,100,
99,公設消火栓,川西分署,福井市佐野町１１番５２号,36.13838640277778,136.14229354444444,200,
100,公設消火栓,川西分署,福井市佐野町１０番４４号,36.13778344722222,136.14161072222225,100,
101,公設消火栓,川西分署,福井市佐野町１０番２７号,36.13802735833333,136.13962398333334,100,
102,公設消火栓,南消防署,福井市花堂北２丁目２９番２号,36.04129111388889,136.2080869,100,
103,公設消火栓,南消防署,福井市花堂北１丁目１２番７号,36.03989748055555,136.2149225666667,100,
104,公設消火栓,南消防署,福井市花堂北２丁目１４番６号,36.04019438888889,136.21298066111115,100,
105,公設消火栓,南消防署,福井市花堂北１丁目１番,36.04263915277778,136.21631436388887,100,
106,公設消火栓,南消防署,福井市花堂北２丁目１０番１２号,36.040569366666666,136.21398058888892,100,
107,公設消火栓,南消防署,福井市花堂北１丁目１５番７号,36.04191428055555,136.21748633333334,100,
108,公設消火栓,南消防署,福井市花堂北１丁目５番５９号,36.04233321388889,136.21703333888888,100,
109,公設消火栓,南消防署,福井市花堂北１丁目５番３２号,36.04192526111111,136.21680036944448,100,
110,公設消火栓,東消防署,福井市花野谷町４３番４０号,36.04365182777778,136.28527559999998,100,
111,公設消火栓,東消防署,福井市花野谷町３８番３号,36.0466343638889,136.28143484166668,75,
112,公設防火水槽,東消防署,福井市花野谷町４６番４３号,36.04384099166667,136.28821709444443,,
113,その他,東消防署,福井市花野谷町４３番４０号,36.04349584722222,136.28535359722218,,
114,公設消火栓,麻生津分遣所,福井市花守町５番４号,36.00207932777777,136.16974906944444,150,
115,公設消火栓,麻生津分遣所,福井市花守町４番１４号,36.00112645555556,136.1685592527778,100,
116,公設消火栓,麻生津分遣所,福井市花守町５番１号,36.00195831111112,136.1677382722222,150,
117,公設防火水槽,清水分署,福井市三留町４０番１８号,36.039888141666665,136.14985696388888,,
118,プール,清水分署,福井市三留町６９番２号,36.03774339722222,136.1530786027778,,
119,公設消火栓,社分署,福井市南江守町２番１号,36.03165706111112,136.1991929638889,200,
120,公設防火水槽,美山分署,福井市計石町２８番９号,35.99894748888889,136.43584886944444,,
121,公設消火栓,西安居分遣所,福井市羽坂町４８番６号１３,36.06314129444444,136.14566376944447,300,
122,公設消火栓,西安居分遣所,福井市羽坂町９番９号８,36.06246835833333,136.14422588333332,200,
123,公設消火栓,西安居分遣所,福井市羽坂町１７番４号５,36.06002065833333,136.1439338333333,150,
124,公設消火栓,中消防署,福井市二の宮２丁目５番２６号,36.08562780833333,136.22272670000004,100,
125,公設消火栓,中消防署,福井市二の宮２丁目５番３６号,36.08452795277778,136.22280373888887,100,
126,公設消火栓,中消防署,福井市二の宮４丁目１７番３０号,36.085278425,136.2096071527778,100,
127,公設消火栓,中消防署,福井市二の宮４丁目６番１５号,36.08422755277777,136.20966710555555,100,
128,公設消火栓,中消防署,福井市二の宮４丁目５番３号,36.082891713888884,136.20974205000002,100,
129,公設消火栓,中消防署,福井市二の宮５丁目１７番１０号,36.086255175000005,136.2060628722222,100,
130,公設消火栓,中消防署,福井市二の宮５丁目１０番１号,36.08453339722222,136.20622675277778,100,
131,公設消火栓,中消防署,福井市松本２丁目１６番１号,36.07270565555555,136.22739275833334,150,
132,公設消火栓,中消防署,福井市松本２丁目１０番,36.07230775833334,136.2286236694444,100,
133,公設消火栓,中消防署,福井市松本２丁目２０番６号,36.073790519444444,136.22735674166663,150,
134,公設消火栓,中消防署,福井市松本２丁目２７番１０号,36.07488538333333,136.2273627222222,250,
135,公設消火栓,中消防署,福井市松本２丁目２５番１１号,36.074679330555554,136.2256488527778,100,
136,公設消火栓,中消防署,福井市松本２丁目３２番１５号,36.07550427777778,136.2267317583333,100,
137,公設消火栓,中消防署,福井市松本１丁目４４番,36.07618730833334,136.22912657222219,100,
138,公設消火栓,中消防署,福井市松本１丁目４６番,36.07549645,136.23035149166665,100,
139,公設消火栓,北分署,福井市定正町５０７番,36.11992407777778,136.22404356111113,150,
140,公設消火栓,北分署,福井市定正町６１４番,36.11985105833333,136.22304866111114,100,
141,公設消火栓,北分署,福井市定正町１００５番,36.11997400833332,136.2219357666667,150,
142,公設消火栓,北分署,福井市定正町９１３番,36.119898011111104,136.2216697972222,100,
